month,ward,alderman
Feb 1999,39,Margaret Laurino
Feb 1999,40,Patrick O'Connor
Feb 1999,41,Brian Doherty
Feb 1999,42,Burton Natarus
Feb 1999,43,Charles Bernardini
Feb 1999,44,Bernie Hansen
Feb 1999,45,Patrick Levar
Feb 1999,46,Helen Shiller
Feb 1999,47,Eugene Schulter
Feb 1999,48,Mary Ann Smith
Feb 1999,49,Joe Moore
Feb 1999,50,Bernard Stone
Mar 1999,1,Jesse Granato
Mar 1999,2,Madeline Haithcock
Mar 1999,3,Dorothy Tillman
Mar 1999,4,Toni Preckwinkle
Mar 1999,5,Barbara Holt
Mar 1999,6,Fredrenna Lyle
Mar 1999,7,William Beavers
Mar 1999,8,Lorraine Dixon
Mar 1999,9,Melvin Powell Sr.
Mar 1999,10,John J. Buchanan
Mar 1999,11,James Balcer
Mar 1999,12,Ray Frias
Mar 1999,13,Frank Olivo
Mar 1999,14,Ed Burke
Mar 1999,15,Virgil E. Jones
Mar 1999,16,Shirley Coleman
Mar 1999,17,Terry Peterson
Mar 1999,18,Thomas Murphy
Mar 1999,19,Virginia Rugai
Mar 1999,20,Arenda Troutman
Mar 1999,21,Leonard DeVille
Mar 1999,22,Ricardo Munoz
Mar 1999,23,Michael Zalewski
Mar 1999,24,Michael Chandler
Mar 1999,25,Daniel Solis
Mar 1999,26,Billy Ocasio
Mar 1999,27,"Walter Burnett, Jr."
Mar 1999,28,Ed Smith
Mar 1999,29,Sam Burrell
Mar 1999,30,Michael Wojcik
Mar 1999,31,Ray Suarez
Mar 1999,32,Theodore Matlak
Mar 1999,33,Dick Mell
Mar 1999,34,Carrie Austin
Mar 1999,35,Vilma Colom
Mar 1999,36,William Banks
Mar 1999,37,Percy Z. Giles
Mar 1999,38,Thomas Allen
Mar 1999,39,Margaret Laurino
Mar 1999,40,Patrick O'Connor
Mar 1999,41,Brian Doherty
Mar 1999,42,Burton Natarus
Mar 1999,43,Charles Bernardini
Mar 1999,44,Bernie Hansen
Mar 1999,45,Patrick Levar
Mar 1999,46,Helen Shiller
Mar 1999,47,Eugene Schulter
Mar 1999,48,Mary Ann Smith
Mar 1999,49,Joe Moore
Mar 1999,50,Bernard Stone
Apr 1999,1,Jesse Granato
Apr 1999,2,Madeline Haithcock
Apr 1999,3,Dorothy Tillman
Apr 1999,4,Toni Preckwinkle
Apr 1999,5,Barbara Holt
Apr 1999,6,Fredrenna Lyle
Apr 1999,7,William Beavers
Apr 1999,8,Lorraine Dixon
Apr 1999,9,Melvin Powell Sr.
Apr 1999,10,John J. Buchanan
Apr 1999,11,James Balcer
Apr 1999,12,Ray Frias
Apr 1999,13,Frank Olivo
Apr 1999,14,Ed Burke
Apr 1999,15,Virgil E. Jones
Apr 1999,16,Shirley Coleman
Apr 1999,17,Terry Peterson
Apr 1999,18,Thomas Murphy
Apr 1999,19,Virginia Rugai
Apr 1999,20,Arenda Troutman
Apr 1999,21,Leonard DeVille
Apr 1999,22,Ricardo Munoz
Apr 1999,23,Michael Zalewski
Apr 1999,24,Michael Chandler
Apr 1999,25,Daniel Solis
Apr 1999,26,Billy Ocasio
Apr 1999,27,"Walter Burnett, Jr."
Apr 1999,28,Ed Smith
Apr 1999,29,Sam Burrell
Apr 1999,30,Michael Wojcik
Apr 1999,31,Ray Suarez
Apr 1999,32,Theodore Matlak
Apr 1999,33,Dick Mell
Apr 1999,34,Carrie Austin
Apr 1999,35,Vilma Colom
Apr 1999,36,William Banks
Apr 1999,37,Percy Z. Giles
Apr 1999,38,Thomas Allen
Apr 1999,39,Margaret Laurino
Apr 1999,40,Patrick O'Connor
Apr 1999,41,Brian Doherty
Apr 1999,42,Burton Natarus
Apr 1999,43,Charles Bernardini
Apr 1999,44,Bernie Hansen
Apr 1999,45,Patrick Levar
Apr 1999,46,Helen Shiller
Apr 1999,47,Eugene Schulter
