draw,density_multifamily_far_binary,density_multifamily_dupac_binary,density_multifamily_far_continuous,density_multifamily_dupac_continuous
295,-0.2661451772547864,-0.22975004319703565,-0.2679525678754384,-0.23844197292712888
296,-0.28512972227554523,-0.34441752377283075,-0.10549756051281572,-0.12835877273726862
297,-0.07593108242491597,-0.12717961606215708,-0.14595768681714846,-0.0593884836933059
298,-0.09974038784456445,-0.1262104638020456,-0.18177061803103012,-0.1264919279503106
299,-0.2752268694409779,-0.20895939854484585,-0.11500234453195617,-0.11515764484726483
300,-0.17087940728559278,-0.2808777486604849,-0.12056925760755487,-0.0754357138603875
301,-0.27779147382033,-0.33539728798610025,-0.19841893855470266,-0.15265803717453025
302,-0.13573012532072184,-0.17841961188184097,-0.16350392499392308,-0.14666818158583814
303,-0.191084425013134,-0.2781290416457327,-0.19482843449619416,-0.15849868759637664
304,-0.24217684379923202,-0.2987431599514503,-0.27101919038647104,-0.2211536682051284
305,-0.2704018452831776,-0.15076352822358602,-0.13024478848310012,-0.08482137115960064
306,-0.19801447654582266,-0.24221066616340783,-0.1366614460649255,-0.10715626775874604
307,-0.17548481544685982,-0.25484841727074226,-0.16880846716506853,-0.16550495651563946
308,-0.18070090969302507,-0.2639645885557086,-0.1617335275300241,-0.1283700075044195
309,-0.24814765610424738,-0.24908722886395748,-0.09560169512048966,-0.07467342608943661
310,-0.2359400073607811,-0.2640644255248345,-0.1582764831084169,-0.11500493095517457
311,-0.2730498915846531,-0.3585879232369655,-0.14396891619681357,-0.14244325686005196
312,-0.27928707036844075,-0.3447981301146413,-0.2973435549070881,-0.28196656180841995
313,-0.27070940770315627,-0.22599650121656234,-0.09118452253009161,-0.05598523773368025
314,-0.11298672301494306,0.008428138558325268,-0.21101761961182872,-0.14085879348483835
315,-0.3537748914702186,-0.18449805571573022,-0.2831182699180295,-0.2571806116407064
316,-0.3106177993071151,-0.3270507667315776,-0.2623901640813384,-0.23370165962015732
317,-0.2605061589339021,-0.30583439520454914,-0.17057849267077968,-0.16030710756587652
318,-0.1960779575746262,-0.2596067287956667,-0.1378790633718946,-0.08623589233453391
319,-0.2954758021648395,-0.21986341281056107,-0.21894125659073868,-0.2275589700705819
320,-0.3564452564207718,-0.37797000486893756,-0.1996590811788218,-0.15265456200715988
321,-0.39942578459449385,-0.33393257282500494,-0.1615043208368319,-0.1304252784287708
322,-0.28369273369641057,-0.24891353918254464,-0.1218694943670661,-0.060275510899291965
323,-0.18467035551096753,-0.14181723376899114,-0.1522210268589047,-0.14262894507850035
324,-0.22339087568731986,-0.27112924675580424,-0.2566651057788885,-0.19814301343798213
325,-0.24153138839271457,-0.21731309786004413,-0.159865032544638,-0.09704830531979244
326,-0.15622153382560422,-0.25603377351834034,-0.14753584940946285,-0.14850962817021401
327,-0.06024348735371536,-0.11593516830754573,-0.13363755350410977,-0.11760749106017061
