project_id,project_pin,construction_year,within_500ft,search_geometry_source,current_pin,current_pin10,current_tax_year,current_class,current_x_3435,current_y_3435,current_address,latest_assessor_year,latest_assessor_cards,latest_assessor_classes,latest_assessor_year_built,latest_assessor_units,latest_assessor_building_sqft,latest_assessor_land_sqft,component_project_ids,represented_by_other_final_project,same_original_pin
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111230030000,1911123003,2025,207,1153023.4514827305,1870630.5179419017,3618 W 51ST ST,2025,1,207,2007,1,1726,2023,residential_19111230030000,TRUE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111230040000,1911123004,2025,100,1153058.9598574494,1870631.515264038,3616 W 51ST ST,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111230050000,1911123005,2025,100,1153094.46839165,1870632.512159556,3614 W 51ST ST,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111230130000,1911123013,2025,295,1153080.64692798,1870704.2037419784,3609 W 50TH PL,2025,1,295,2007,1,1743,1117,residential_19111230130000,TRUE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111230140000,1911123014,2025,295,1153061.0461461777,1870703.628526523,3611 W 50TH PL,2025,1,295,2007,1,1920,1040,residential_19111230140000,TRUE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111230150000,1911123015,2025,295,1153043.1738881343,1870703.1019994956,3615 W 50TH PL,2025,1,295,2007,1,1728,927,residential_19111230150000,TRUE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111230160000,1911123016,2025,295,1153022.591620334,1870702.4981661849,3617 W 50TH PL,2025,1,295,2007,1,1935,1338,residential_19111230160000,TRUE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111230170000,1911123017,2025,295,1152999.9211370768,1870701.8323599903,3619 W 50TH ST,2025,1,295,2007,1,1867,1157,residential_19111230170000,TRUE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111230180000,1911123018,2025,295,1152980.8532957945,1870701.277252578,3621 W 50TH ST,2025,1,295,2007,1,1804,942,residential_19111230180000,TRUE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111230190000,1911123019,2025,295,1152962.950208302,1870700.7464461552,3623 W 50TH ST,2025,1,295,2007,1,1867,1028,residential_19111230190000,TRUE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111230200000,1911123020,2025,295,1152943.0849833875,1870700.1586137337,3625 W 50TH ST,2025,1,295,2007,1,2007,1158,residential_19111230200000,TRUE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111270020000,1911127002,2025,913,1152946.3435722925,1871313.7247547088,3616 W 50TH ST,NA,NA,NA,NA,NA,NA,NA,commercial_19111240120000,TRUE,FALSE
