pin,pin10,card_num,cards_in_history,tax_year,previous_year_built,year_built,transition_type,previous_building_sqft,building_sqft,sqft_ratio,previous_land_sqft,land_sqft,previous_apartments,apartments,previous_building_use,building_use,previous_residence_type,residence_type,large_characteristic_change,candidate_pins_under_pin10,new_construction_permits_under_pin10,permit_id,permit_application_date,permit_application_year,permit_issue_date,permit_issued,permit_status,permit_address,work_description,unique_pin10_permit_match,build_minus_permit_year,permit_supports_new_year,permit_postdates_previous_reported_year,candidate_type
09364040020000,0936404002,1,1,2014,1926,2011,pre_1999_to_post_1999,1581,2562,1.6204933586337762,4375,4375,0,0,Single-Family,Single-Family,1.5 Story,2 Story,TRUE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,old_building_to_new_building
09364040160000,0936404016,1,1,2009,1956,2008,pre_1999_to_post_1999,1283,3588,2.7965705378020265,6250,6250,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,old_building_to_new_building
09364050160000,0936405016,1,1,2014,1936,2011,pre_1999_to_post_1999,842,2146,2.548693586698337,4163,4163,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,old_building_to_new_building
09364090090000,0936409009,1,1,2016,1888,2014,pre_1999_to_post_1999,1281,4076,3.181889149102264,7068,7068,0,0,Single-Family,Single-Family,2 Story,2 Story,TRUE,1,1,2622829,2015-03-27,2015,2015-05-12,1,COMPLETE,6674 N OLYMPIA AVE,NEW 2 STORY FRAME AND STONE VENEER BUILDING WITH BASEMENT. NEW DETACHED 3 CAR FRAME GARAGE.,TRUE,-1,FALSE,FALSE,old_building_to_new_building
09364100100000,0936410010,1,1,2004,1921,2003,pre_1999_to_post_1999,768,2340,3.046875,NA,NA,0,0,Single-Family,Single-Family,1.5 Story,2 Story,TRUE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,old_building_to_new_building
09364100130000,0936410013,1,1,2015,1921,2014,pre_1999_to_post_1999,1120,3240,2.892857142857143,5890,5890,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,1,2557948,2014-06-12,2014,2014-06-23,1,COMPLETE,6634 N OGALLAH AVE,"ERECT A 2 STORY ,IVA FRAME SINGLE FAMILY RESIDENCE WITH UNFINISHED BASEMENT AND DETACHED 3-CAR PRIVATE GARAGE",TRUE,0,TRUE,TRUE,old_building_to_new_building
09364100140000,0936410014,1,1,2006,1921,2005,pre_1999_to_post_1999,768,3109,4.048177083333333,NA,5890,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,old_building_to_new_building
09364130050000,0936413005,1,1,2016,1943,2014,pre_1999_to_post_1999,1107,3260,2.944896115627823,4375,4375,0,0,Single-Family,Single-Family,2 Story,2 Story,TRUE,1,1,2628803,2015-03-31,2015,2015-04-06,1,COMPLETE,6645 N ODELL AVE,ERECT A NEW 2 STORY FRAME (4A) SINGLE FAMILY RESIDENCE AND FRAM 2 CAR GARAGE AS PER PLANS.,TRUE,-1,FALSE,FALSE,old_building_to_new_building
09364130390000,0936413039,1,1,2019,1940,2018,pre_1999_to_post_1999,2279,3022,1.326020184291356,4962,4962,0,0,Single-Family,Single-Family,1.5 Story,2 Story,TRUE,1,1,2903033,2018-04-30,2018,2018-04-30,1,COMPLETE,6619 N ONARGA AVE,"SELF-CERT: ERECT NEW 2 STORY FRAME SFR W/ BASEMENT, FRONT OPEN PORCH, TRASH ENCLOSURE AND THE EXIST. DETACHED PRIVATE GARAGE ALTERATION ONLY PER PLANS.",TRUE,0,TRUE,TRUE,old_building_to_new_building
09364140120000,0936414012,1,1,2006,1922,2005,pre_1999_to_post_1999,1306,4216,3.228177641653905,NA,6250,0,0,Single-Family,Single-Family,1.5 Story,2 Story,TRUE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,old_building_to_new_building
