attom_id,address
20951924,"3635 W 82ND ST, CHICAGO, IL, 60652-2431"
175022467,"5815 W PETERSON AVE, CHICAGO, IL, 60646-3907"
28988617,"17 N STATE ST, CHICAGO, IL, 60602-3293"
20406725,"5336 S MEADE AVE, CHICAGO, IL, 60638-2612"
52566134,"6132 S HERMITAGE AVE, CHICAGO, IL, 60636-2225"
38795218,"2052 W CUYLER AVE, CHICAGO, IL, 60618-3390"
38781893,"7323 W HIGGINS AVE, CHICAGO, IL, 60656-1825"
175025556,"4455 N KIMBALL AVE, CHICAGO, IL, 60625-5415"
175266630,"5800 S FRANCISCO AVE, CHICAGO, IL, 60629-2207"
49790802,"1246 W 95TH PL, CHICAGO, IL, 60643-1412"
38888200,"6022 N KEDVALE AVE, CHICAGO, IL, 60646-5220"
174871419,"2550 E 81ST ST, CHICAGO, IL, 60617-1210"
175041546,"3522 N BOSWORTH AVE, CHICAGO, IL, 60657-1365"
150069084,"10823 S AVENUE M, CHICAGO, IL, 60617-6637"
24974366,"3842 N PIONEER AVE, CHICAGO, IL, 60634-2048"
53256238,"8215 S PRAIRIE AVE, CHICAGO, IL, 60619-4809"
25136073,"2646 N OAK PARK AVE, CHICAGO, IL, 60707-1750"
204343033,"5342 S INDIANA AVE, CHICAGO, IL, 60615-4713"
19700980,"4535 S KARLOV AVE, CHICAGO, IL, 60632-4019"
49617092,"5038 N KILBOURN AVE, CHICAGO, IL, 60630-2625"
53955275,"4945 S KEATING AVE, CHICAGO, IL, 60632-4814"
298643,"4215 W FULLERTON AVE, CHICAGO, IL, 60639-2073"
149634983,"2441 N ROCKWELL ST, CHICAGO, IL, 60647-1916"
49731655,"1626 W 38TH ST, CHICAGO, IL, 60609-2125"
175033431,"5419 N FOREST GLEN AVE, CHICAGO, IL, 60630-1523"
35352811,"4431 S KARLOV AVE, CHICAGO, IL, 60632-4017"
24502048,"1928 N SAINT LOUIS AVE, CHICAGO, IL, 60647-3607"
144784644,"10562 S HOMAN AVE, CHICAGO, IL, 60655-2541"
23048233,"4823 N NEWLAND AVE, CHICAGO, IL, 60656-3917"
